School,Polarity,Value
Brown,Harvard Mentions,0.1384702
Dartmouth,Harvard Mentions,0.1234632
Yale,Harvard Mentions,0.118308
Harvard,Harvard Mentions,0.1176166
Columbia,Harvard Mentions,0.1053705
Princeton,Harvard Mentions,0.0998563
UPenn,Harvard Mentions,0.0499841
Cornell,Harvard Mentions,0.0431208
Brown,All Posts,0.131845
Dartmouth,All Posts,0.100356
Yale,All Posts,0.106057
Harvard,All Posts,0.102281
Columbia,All Posts,0.110182
Princeton,All Posts,0.103956
UPenn,All Posts,0.104912
Cornell,All Posts,0.094974
