School,Subjectivity,Value
Princeton,All Posts,0.389667
Brown,All Posts,0.4062
Harvard,All Posts,0.389198
UPenn,All Posts,0.389058
Yale,All Posts,0.389994
Cornell,All Posts,0.387586
Dartmouth,All Posts,0.390321
Columbia,All Posts,0.394456
Princeton,Harvard Mentions,0.4751059
Brown,Harvard Mentions,0.4625643
Harvard,Harvard Mentions,0.4457099
UPenn,Harvard Mentions,0.4444404
Yale,Harvard Mentions,0.4370228
Cornell,Harvard Mentions,0.4228569
Dartmouth,Harvard Mentions,0.4115641
Columbia,Harvard Mentions,0.3914084
