,body
0,it will most probably be discovered they discriminate against asians in admittances by giving them a higher required sat and gpa than non-asians like with harvard.
1,"a few ways, off the top of my head:

1) systemic racism that affects students' academic lives before they get to university- some students will have caregiving responsibilities or things affecting their lives that muddle our ability to accurately measure their academic potential. a brilliant student who spends all of their free time caring for sick relatives will test a lot different from one who has dedicated tutors hired to help them do well on tests. these factors affect students way before they get to princeton

2) systems that exist at princeton that the university or even explicit perpetrators aren't aware of. harvard's project implicit is one of the biggest ongoing psychology experiments in the world, and they've pretty consistently shown that most people have unconscious biases that lead them to prejudicing against certain groups. making yourself aware of those biases is a good thing, because it helps you consciously overcome them- we should focus on growing out of these biases rather than condemning that they previously existed, since they're common societally

3) a lot of these systems come down to social dynamics or hierarchies of power that the university doesn't explicitly control. students who feel like their opinions won't be taken seriously in class will be marginalized or pressured into not behaving like other students, even if the university doesn't actively tell them that their opinions aren't valid. this is why representation is so important to people- it gives people from historically marginalized groups a reason to believe that when they voice their opinions in an academic setting, people will actually pay attention. but the creation and maintenance of the environment that marginalized those people didn't require any actual actions by the university- it's much more environmental than that. in fact, these environments often persist in spite of organizations explicitly arguing that they support the voices of marginalized peoples- if somebody exists in a wider society that doesn't take your opinion seriously, i understand why that person would continue feeling that way when they move to a slightly different environment that's still a part of the society.

4) i think the definition of ""racist"" gets lost a lot here, mostly since that word is very charged. racism isn't just overtly discriminatory acts, but also (as i alluded to above) systems that perpetuate discrimination in society. identifying that parts of society perpetuate this racism isn't an indictment- it's necessary self-awareness that can direct us towards actually rectifying that discrimination. systemic racism isn't always a set of overt actions that people do because they hate minorities or like oppressing people, so our response to it shouldn't be to condemn newfound self-awareness. acknowledgement of racist structures is not racist, and since many of those structures were unconscious or part of wider societies, we should focus on how we can fix those structures and not on placing blame for them.

with the big caveat, of course, that overt racism does still exist. if the university openly knows that a practice is discriminatory and engages in it anyways with the intent of marginalizing certain groups of people, we shouldn't assume good faith. but as i understand it, nobody has accused princeton of this sort of overt discrimination, so much as princeton has acknowledged that the university exists within a society that has systemic discrimination in it.

hope that makes sense."
2,"> your example of systemic racism that doesn't include racial discrimination still requires racial discrimination for it to function.

no, it required _past_ racial discrimination. it requires zero racist intent today - the racist effect will persist nonetheless unless an effort is made to rectify it.

> princeton isn't saying that there still exists an undercurrent of racism that permeates all of society, they are saying that the their systems - the systems which princeton is responsible for and that are fully within their power to change - are racist.

this is not the message i got from the letter at all, and i am in fact quite surprised that anyone could read the letter in this way.

> no school that actively engages in systemic racism should be granted federal funding.

""systemic racism"" is not equivalent to ""explicitly codified racial prejudice"". it is typically used to refer to the racist outcomes that arise from systems or institutions that were designed without explicitly racist intent. see, for example, the section on institutional racism in https://projects.iq.harvard.edu/files/deib-explorer/files/sociology_of_racism.pdf .

the claim that these systems are unique to princeton, or even especially rare among us universities, would be laughable. working on addressing these problems is impossible without naming them. so - what end does this doe action serve?"
3,"""harvard fails princeton exam"" on espn"
4,"tiiiiiiiiiiiiiiiiiiiiiiiigggggggggggeeeeeeeeeeeeerrrrrrrrrrrrrssssssss!!!!!

now if we go undefeated for the rest of the season, we have a slight chance of catching harvard for the title."
5,"unlike other schools that only focus on their graduate students (harvard cough cough), princeton has a purely undergraduate focus.  the school is even designed that the grad college is a mile away from campus, so that undergrads would stay the focus of the school.  outside of having lots and lots of work, i can't think of one bad experience i've had here in 2 and 3/4 years.  the people are amazing and always fun to talk to, there's always a niche you can fit into (i deck out in body paint for football games, then go back to my friend's dorm for a weekly n64 tournament), and everyone is so nice.  i may be biased coming from ny, but i have not been around a nicer community of people.  

congratulations, and don't be afraid to ask any more questions!"
6,"📅 2018-04-28 ⏰ 15:27:43 [(utc)](https://www.timeanddate.com/worldclock/converter.html?iso=20180428t152743&p1=1440)

>pton wins a thriller over yale and harvard.  yale led out of the turn and pton got ahead with 10 strokes to go.  pton wins goldthwait and vogel cups!!!

>— princeton lights ([@tigerlights](https://twitter.com/tigerlights))

>🔁️ 7 💟 36



 &nbsp; 

^(i'm a bot and this action was done automatically)"
7,"^the linked tweet was tweeted by [@tigerlights](https://twitter.com/tigerlights) on apr 28, 2018 15:27:43 utc (7 retweets | 36 favorites)

-------------------------------------------------

pton wins a thriller over yale and harvard.  yale led out of the turn and pton got ahead with 10 strokes to go.  pton wins goldthwait and vogel cups!!!

-------------------------------------------------

^^• beep boop i'm a bot • find out more about me at /r/tweettranscriberbot/ •"
8,"as quoted in the orange key guide for guides: ""some princetonians like to say this put princeton a quarter-million miles ahead of harvard
and yale!"""
9,any news? harvard just went online for the year.
